GO_name,GO_term,GO_definition
osteoclast differentiation,GO:0030316,The process in which a relatively unspecialized monocyte acquires the specialized features of an osteoclast. An osteoclast is a specialized phagocytic cell associated with the absorption and removal of the mineralized matrix of bone tissue.
cellular response to leukemia inhibitory factor,GO:1990830,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a leukemia inhibitory factor stimulus."
cellular response to interleukin-11,GO:0071348,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-11 stimulus."
pituitary gland development,GO:0021983,The progression of the pituitary gland over time from its initial formation until its mature state. The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands.
dephosphorylation of RNA polymerase II C-terminal domain,GO:0070940,The process of removing a phosphate group from an amino acid residue in the C-terminal domain of RNA polymerase II. Some dephosphorylation occurs during transcription while some may occur after the enzyme is released from the template in order to prepare it for the beginning of the transcription cycle again. RNA polymerase II with little or no phosphorylation is referred to as the hypophosphorylated or II(A) form.
translation,GO:0006412,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
translational initiation,GO:0006413,"The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA."
rRNA processing,GO:0006364,Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules.
ribosomal small subunit biogenesis,GO:0042274,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a small ribosomal subunit; includes transport to the sites of protein synthesis."
viral transcription,GO:0019083,"The process by which a viral genome, or part of a viral genome, is transcribed within the host cell."
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:0000184,"The nonsense-mediated decay pathway for nuclear-transcribed mRNAs degrades mRNAs in which an amino-acid codon has changed to a nonsense codon; this prevents the translation of such mRNAs into truncated, and potentially harmful, proteins."
SRP-dependent cotranslational protein targeting to membrane,GO:0006614,"The targeting of proteins to a membrane that occurs during translation and is dependent upon two key components, the signal-recognition particle (SRP) and the SRP receptor. SRP is a cytosolic particle that transiently binds to the endoplasmic reticulum (ER) signal sequence in a nascent protein, to the large ribosomal unit, and to the SRP receptor in the ER membrane."
cytoplasmic translation,GO:0002181,The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein.
erythrocyte homeostasis,GO:0034101,Any process of regulating the production and elimination of erythrocytes within an organism.
negative regulation of translation,GO:0017148,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."
P-body assembly,GO:0033962,"The aggregation, arrangement and bonding together of proteins and RNA molecules to form a cytoplasmic mRNA processing body."
mitotic spindle assembly,GO:0090307,"Mitotic bipolar spindle assembly begins with spindle microtubule nucleation from the separated spindle pole body, includes spindle elongation during prometaphase, and is complete when all kinetochores are stably attached the spindle, and the spindle assembly checkpoint is satisfied."
