electron transport chain,GO:0022900
negative regulation of transcription from RNA polymerase II promoter in response to stress,GO:0097201
chaperone-mediated protein complex assembly,GO:0051131
positive regulation of RNA splicing,GO:0033120
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,GO:1901029
positive regulation of protein targeting to mitochondrion,GO:1903955
regulation of exocytosis,GO:0017157
exonucleolytic catabolism of deadenylated mRNA,GO:0043928
antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0019886
fusion of sperm to egg plasma membrane involved in single fertilization,GO:0007342
single fertilization,GO:0007338
tRNA 5'-leader removal,GO:0001682
protein localization to cell surface,GO:0034394
regulation of AMPA receptor activity,GO:2000311
long-term synaptic depression,GO:0060292
T cell mediated immunity,GO:0002456
protein tetramerization,GO:0051262
G protein-coupled glutamate receptor signaling pathway,GO:0007216
cellular response to light stimulus,GO:0071482
cation transmembrane transport,GO:0098655
desensitization of G protein-coupled receptor signaling pathway,GO:0002029
acetylcholine receptor signaling pathway,GO:0095500
negative regulation of protein catabolic process,GO:0042177
positive regulation of protein catabolic process,GO:0045732
endosome to lysosome transport,GO:0008333
endosome transport via multivesicular body sorting pathway,GO:0032509
mitochondrial translation,GO:0032543
mitochondrial translational elongation,GO:0070125
mitochondrial translational termination,GO:0070126
collagen catabolic process,GO:0030574
digestion,GO:0007586
positive regulation of cell adhesion,GO:0045785
positive regulation of cell growth,GO:0030307
extracellular matrix disassembly,GO:0022617
cellular response to retinoic acid,GO:0071300
canonical Wnt signaling pathway,GO:0060070
cell fate commitment,GO:0045165
canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,GO:1904954
stem cell proliferation,GO:0072089
mammary gland epithelium development,GO:0061180
canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation,GO:0044338
limb bud formation,GO:0060174
negative regulation of cholesterol storage,GO:0010887
epithelial cell differentiation,GO:0030855
angiotensin maturation,GO:0002003
positive regulation of cholesterol efflux,GO:0010875
medium-chain fatty acid metabolic process,GO:0051791
cholesterol biosynthetic process,GO:0006695
regulation of bile acid biosynthetic process,GO:0070857
cellular response to cholesterol,GO:0071397
cellular response to low-density lipoprotein particle stimulus,GO:0071404
regulation of bile acid secretion,GO:0120188
cobalamin metabolic process,GO:0009235
positive regulation of peptidyl-threonine phosphorylation,GO:0010800
positive regulation of phagocytosis,GO:0050766
protein kinase C-activating G protein-coupled receptor signaling pathway,GO:0007205
positive regulation of protein kinase activity,GO:0045860
induction of positive chemotaxis,GO:0050930
protein kinase C signaling,GO:0070528
calcium-mediated signaling using intracellular calcium source,GO:0035584
positive regulation of MHC class II biosynthetic process,GO:0045348
macrophage chemotaxis,GO:0048246
monocyte activation,GO:0042117
regulation of vascular permeability,GO:0043114
microglial cell activation,GO:0001774
glial cell migration,GO:0008347
cellular extravasation,GO:0045123
neutrophil-mediated killing of bacterium,GO:0070944
melanin biosynthetic process,GO:0042438
regulation of GTPase activity,GO:0043087
neutrophil extravasation,GO:0072672
membrane protein ectodomain proteolysis,GO:0006509
negative regulation of phagocytosis,GO:0050765
cell-cell junction maintenance,GO:0045217
mature conventional dendritic cell differentiation,GO:0097029
RNA splicing_ via transesterification reactions,GO:0000375
glutathione metabolic process,GO:0006749
glutathione derivative biosynthetic process,GO:1901687
positive regulation of natural killer cell mediated cytotoxicity,GO:0045954
cell recognition,GO:0008037
negative regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0032435
mitotic G2 DNA damage checkpoint,GO:0007095
negative regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043124
positive regulation of apoptotic signaling pathway,GO:2001235
regulation of cell cycle G1/S phase transition,GO:1902806
negative regulation of ubiquitin-dependent protein catabolic process,GO:2000059
positive regulation of axon extension,GO:0045773
intracellular distribution of mitochondria,GO:0048312
generation of neurons,GO:0048699
protein polymerization,GO:0051258
regulation of microtubule polymerization,GO:0031113
activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919
positive regulation of neuron death,GO:1901216
positive regulation of microtubule polymerization,GO:0031116
internal protein amino acid acetylation,GO:0006475
memory,GO:0007613
response to lead ion,GO:0010288
regulation of autophagy,GO:0010506
negative regulation of mitochondrial membrane potential,GO:0010917
rRNA metabolic process,GO:0016072
axonal transport of mitochondrion,GO:0019896
central nervous system neuron development,GO:0021954
cytoplasmic microtubule organization,GO:0031122
positive regulation of superoxide anion generation,GO:0032930
regulation of chromosome organization,GO:0033044
negative regulation of kinase activity,GO:0033673
cellular response to reactive oxygen species,GO:0034614
microtubule polymerization,GO:0046785
astrocyte activation,GO:0048143
synapse organization,GO:0050808
regulation of calcium-mediated signaling,GO:0050848
axon development,GO:0061564
regulation of mitochondrial fission,GO:0090140
negative regulation of mitochondrial fission,GO:0090258
supramolecular fiber organization,GO:0097435
axonal transport,GO:0098930
regulation of long-term synaptic depression,GO:1900452
positive regulation of protein localization to synapse,GO:1902474
positive regulation of cellular protein localization,GO:1903829
negative regulation of tubulin deacetylation,GO:1904428
cellular response to nerve growth factor stimulus,GO:1990090
cellular response to brain-derived neurotrophic factor stimulus,GO:1990416
regulation of response to DNA damage stimulus,GO:2001020
synapse assembly,GO:0007416
CDP-diacylglycerol biosynthetic process,GO:0016024
positive regulation of cellular metabolic process,GO:0031325
phosphatidic acid biosynthetic process,GO:0006654
positive regulation of cytokine-mediated signaling pathway,GO:0001961
negative regulation of interleukin-8 production,GO:0032717
negative regulation of chemokine production,GO:0032682
protein catabolic process,GO:0030163
neutrophil-mediated killing of gram-negative bacterium,GO:0070945
acute inflammatory response to antigenic stimulus,GO:0002438
negative regulation of chemotaxis,GO:0050922
maintenance of protein location in nucleus,GO:0051457
maintenance of synapse structure,GO:0099558
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,GO:1901030
positive regulation of cristae formation,GO:1903852
stabilization of membrane potential,GO:0030322
complement activation_ alternative pathway,GO:0006957
macromolecule depalmitoylation,GO:0098734
monoacylglycerol catabolic process,GO:0052651
phosphatidylserine catabolic process,GO:0006660
sensory perception of taste,GO:0050909
detection of chemical stimulus involved in sensory perception of bitter taste,GO:0001580
detection of bacterium,GO:0016045
pyroptosis,GO:0070269
iron ion transport,GO:0006826
iron ion transmembrane transport,GO:0034755
regulation of cellular amino acid metabolic process,GO:0006521
proteasomal ubiquitin-independent protein catabolic process,GO:0010499
negative regulation of G2/M transition of mitotic cell cycle,GO:0010972
anaphase-promoting complex-dependent catabolic process,GO:0031145
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,GO:0031146
pre-replicative complex assembly,GO:0036388
NIK/NF-kappaB signaling,GO:0038061
Wnt signaling pathway_ planar cell polarity pathway,GO:0060071
regulation of transcription from RNA polymerase II promoter in response to hypoxia,GO:0061418
interleukin-1-mediated signaling pathway,GO:0070498
regulation of mitotic cell cycle phase transition,GO:1901990
regulation of hematopoietic stem cell differentiation,GO:1902036
regulation of cysteine-type endopeptidase activity,GO:2000116
citrulline metabolic process,GO:0000052
arginine catabolic process,GO:0006527
positive regulation of nitric oxide biosynthetic process,GO:0045429
regulation of nitric-oxide synthase activity,GO:0050999
arginine metabolic process,GO:0006525
nitric oxide mediated signal transduction,GO:0007263
nitric oxide biosynthetic process,GO:0006809
negative regulation of cytokine production,GO:0001818
negative regulation of stress fiber assembly,GO:0051497
maintenance of blood-brain barrier,GO:0035633
regulation of bicellular tight junction assembly,GO:2000810
hippo signaling,GO:0035329
cell-cell junction organization,GO:0045216
establishment of endothelial intestinal barrier,GO:0090557
protein localization to cell-cell junction,GO:0150105
positive regulation of blood-brain barrier permeability,GO:1905605
protein localization to bicellular tight junction,GO:1902396
cell-cell junction assembly,GO:0007043
positive regulation of cell-cell adhesion mediated by cadherin,GO:2000049
protein localization to adherens junction,GO:0071896
actomyosin structure organization,GO:0031032
adherens junction maintenance,GO:0034334
regulation of cytoskeleton organization,GO:0051493
regulation of cell junction assembly,GO:1901888
programmed cell death,GO:0012501
pore complex assembly,GO:0046931
negative regulation of stem cell population maintenance,GO:1902455
midbrain dopaminergic neuron differentiation,GO:1904948
respiratory burst,GO:0045730
SNARE complex disassembly,GO:0035494
intra-Golgi vesicle-mediated transport,GO:0006891
plasma membrane fusion,GO:0045026
COPII vesicle coating,GO:0048208
positive regulation of receptor recycling,GO:0001921
Golgi to plasma membrane protein transport,GO:0043001
negative regulation of fibrinolysis,GO:0051918
acute-phase response,GO:0006953
positive regulation of collagen biosynthetic process,GO:0032967
fibrinolysis,GO:0042730
regulation of blood vessel diameter by renin-angiotensin,GO:0002034
positive regulation of cell differentiation,GO:0045597
blood vessel morphogenesis,GO:0048514
negative regulation of plasminogen activation,GO:0010757
positive regulation of transforming growth factor beta production,GO:0071636
cellular response to amino acid starvation,GO:0034198
insulin receptor signaling pathway,GO:0008286
transferrin transport,GO:0033572
phagosome acidification,GO:0090383
ketone body biosynthetic process,GO:0046951
ketone body catabolic process,GO:0046952
negative regulation of signaling receptor activity,GO:2000272
negative regulation of execution phase of apoptosis,GO:1900118
negative regulation of microglial cell activation,GO:1903979
negative regulation of cytokine-mediated signaling pathway,GO:0001960
T cell differentiation,GO:0030217
B cell receptor signaling pathway,GO:0050853
release of sequestered calcium ion into cytosol,GO:0051209
