process,go,genes,id
regulation of actin cytoskeleton reorganization,GO:2000249,ENSG00000134250;ENSG00000158769;ENSG00000143322;ENSG00000110492;ENSG00000173156;ENSG00000149564;ENSG00000111348;ENSG00000079337;ENSG00000197045;ENSG00000141522;ENSG00000167657;ENSG00000130755;ENSG00000105329;ENSG00000142185;ENSG00000134853;ENSG00000145703;ENSG00000182578;ENSG00000198087;ENSG00000170381;ENSG00000120899;ENSG00000097007;ENSG00000054148;,48
positive regulation of keratinocyte proliferation,GO:0010838,ENSG00000134250;ENSG00000143536;ENSG00000110492;ENSG00000092295;ENSG00000140285;ENSG00000062038;ENSG00000166263;ENSG00000143954;ENSG00000172016;ENSG00000073282;ENSG00000109321;ENSG00000070193;ENSG00000170961;ENSG00000136869;,49
positive regulation of Ras protein signal transduction,GO:0046579,ENSG00000134250;ENSG00000160691;ENSG00000198400;ENSG00000143772;ENSG00000198915;ENSG00000108061;ENSG00000174775;ENSG00000049130;ENSG00000017427;ENSG00000185950;ENSG00000172575;ENSG00000058335;ENSG00000108829;ENSG00000177885;ENSG00000141968;ENSG00000187266;ENSG00000171777;ENSG00000099942;ENSG00000070193;ENSG00000112851;ENSG00000204344;ENSG00000136297;ENSG00000240720;ENSG00000130427;ENSG00000157680;ENSG00000157168;ENSG00000254087;ENSG00000096968;ENSG00000107263;ENSG00000148400;ENSG00000134259;ENSG00000184371;,50
stem cell population maintenance,GO:0019827,ENSG00000134250;ENSG00000134371;ENSG00000138336;ENSG00000156574;ENSG00000107779;ENSG00000171206;ENSG00000108055;ENSG00000198730;ENSG00000075388;ENSG00000110367;ENSG00000111704;ENSG00000152944;ENSG00000135111;ENSG00000133112;ENSG00000165819;ENSG00000133997;ENSG00000119715;ENSG00000137815;ENSG00000166477;ENSG00000103037;ENSG00000008838;ENSG00000168610;ENSG00000198816;ENSG00000006712;ENSG00000080345;ENSG00000155760;ENSG00000144535;ENSG00000101115;ENSG00000099917;ENSG00000128342;ENSG00000184708;ENSG00000163508;ENSG00000168036;ENSG00000163938;ENSG00000118579;ENSG00000157404;ENSG00000151247;ENSG00000145388;ENSG00000133398;ENSG00000164190;ENSG00000152684;ENSG00000155868;ENSG00000175324;ENSG00000147596;ENSG00000164758;ENSG00000107077;ENSG00000198887;ENSG00000136826;ENSG00000119403;ENSG00000160563;ENSG00000180182;ENSG00000072501;ENSG00000184634;ENSG00000101882;ENSG00000143033;ENSG00000131914;ENSG00000117713;ENSG00000134744;ENSG00000159339;ENSG00000142611;,51
pulmonary valve morphogenesis,GO:0003184,ENSG00000134250;ENSG00000092969;ENSG00000125378;ENSG00000137834;ENSG00000137868;ENSG00000131196;ENSG00000185008;ENSG00000169855;ENSG00000145147;ENSG00000135547;ENSG00000164867;ENSG00000164683;ENSG00000148400;ENSG00000163909;,52
Notch signaling involved in heart development,GO:0061314,ENSG00000134250;ENSG00000128917;ENSG00000124216;ENSG00000168214;ENSG00000135547;ENSG00000178234;ENSG00000019549;ENSG00000164683;ENSG00000148400;ENSG00000163909;,53
bone remodeling,GO:0046849,ENSG00000134250;ENSG00000129167;ENSG00000205213;ENSG00000175104;ENSG00000168056;ENSG00000162337;ENSG00000070018;ENSG00000141696;ENSG00000099617;ENSG00000072080;ENSG00000101265;ENSG00000100068;ENSG00000187098;ENSG00000135312;ENSG00000152661;ENSG00000086300;ENSG00000002745;ENSG00000142627;,54
atrial septum morphogenesis,GO:0060413,ENSG00000134250;ENSG00000092969;ENSG00000089225;ENSG00000179588;ENSG00000204217;ENSG00000016082;ENSG00000183072;ENSG00000135547;ENSG00000164532;ENSG00000128602;ENSG00000136574;ENSG00000142871;,55
negative regulation of growth rate,GO:0045967,ENSG00000134250;ENSG00000137648;ENSG00000148400;,56
liver development,GO:0001889,ENSG00000134250;ENSG00000117707;ENSG00000136630;ENSG00000151461;ENSG00000150347;ENSG00000156574;ENSG00000174775;ENSG00000166337;ENSG00000173039;ENSG00000110092;ENSG00000137491;ENSG00000075239;ENSG00000133703;ENSG00000135100;ENSG00000081760;ENSG00000139515;ENSG00000136327;ENSG00000165527;ENSG00000100522;ENSG00000100650;ENSG00000169856;ENSG00000128918;ENSG00000166949;ENSG00000067225;ENSG00000140465;ENSG00000127554;ENSG00000008710;ENSG00000103494;ENSG00000196712;ENSG00000125686;ENSG00000131759;ENSG00000108465;ENSG00000141448;ENSG00000119547;ENSG00000130175;ENSG00000245848;ENSG00000153879;ENSG00000105699;ENSG00000105516;ENSG00000084774;ENSG00000172845;ENSG00000021826;ENSG00000241635;ENSG00000196839;ENSG00000172216;ENSG00000100219;ENSG00000100263;ENSG00000128309;ENSG00000100412;ENSG00000121879;ENSG00000114315;ENSG00000151552;ENSG00000138668;ENSG00000118762;ENSG00000145545;ENSG00000112972;ENSG00000049883;ENSG00000112893;ENSG00000008083;ENSG00000198563;ENSG00000025796;ENSG00000118520;ENSG00000164442;ENSG00000112096;ENSG00000197081;ENSG00000106078;ENSG00000146648;ENSG00000019991;ENSG00000070669;ENSG00000105976;ENSG00000105894;ENSG00000023287;ENSG00000197724;ENSG00000136881;ENSG00000136877;ENSG00000130707;ENSG00000148400;ENSG00000036473;ENSG00000130988;ENSG00000165240;ENSG00000069702;ENSG00000117054;ENSG00000162433;ENSG00000177606;ENSG00000169174;ENSG00000117305;ENSG00000084073;ENSG00000162552;,57
placenta development,GO:0001890,ENSG00000134250;ENSG00000121454;ENSG00000143845;ENSG00000156574;ENSG00000166033;ENSG00000183734;ENSG00000129757;ENSG00000181649;ENSG00000129173;ENSG00000110330;ENSG00000111276;ENSG00000165891;ENSG00000011465;ENSG00000135100;ENSG00000165556;ENSG00000214274;ENSG00000100601;ENSG00000162063;ENSG00000086696;ENSG00000064195;ENSG00000182459;ENSG00000185231;ENSG00000105672;ENSG00000115760;ENSG00000196839;ENSG00000142168;ENSG00000100220;ENSG00000100147;ENSG00000132170;ENSG00000196549;ENSG00000135074;ENSG00000112033;ENSG00000112062;ENSG00000044090;ENSG00000096384;ENSG00000085511;ENSG00000174697;ENSG00000137561;ENSG00000169398;ENSG00000137154;ENSG00000186350;ENSG00000107187;ENSG00000124479;ENSG00000125931;ENSG00000131264;ENSG00000170965;ENSG00000188910;,58
heart looping,GO:0001947,ENSG00000134250;ENSG00000162738;ENSG00000154342;ENSG00000156574;ENSG00000138136;ENSG00000107831;ENSG00000107882;ENSG00000133816;ENSG00000110195;ENSG00000168014;ENSG00000139445;ENSG00000135111;ENSG00000086598;ENSG00000136169;ENSG00000100644;ENSG00000080815;ENSG00000166949;ENSG00000140463;ENSG00000166823;ENSG00000149922;ENSG00000103034;ENSG00000154099;ENSG00000073861;ENSG00000121068;ENSG00000141519;ENSG00000101752;ENSG00000138002;ENSG00000214513;ENSG00000136535;ENSG00000163093;ENSG00000163501;ENSG00000125863;ENSG00000125850;ENSG00000101052;ENSG00000203883;ENSG00000163508;ENSG00000163513;ENSG00000114251;ENSG00000169379;ENSG00000114446;ENSG00000113971;ENSG00000118762;ENSG00000138686;ENSG00000164107;ENSG00000081189;ENSG00000131437;ENSG00000113196;ENSG00000183072;ENSG00000112658;ENSG00000135541;ENSG00000164442;ENSG00000198719;ENSG00000164532;ENSG00000128602;ENSG00000164690;ENSG00000136574;ENSG00000164736;ENSG00000160973;ENSG00000106991;ENSG00000148400;ENSG00000122145;ENSG00000156925;ENSG00000123473;,59
morphogenesis of an epithelial sheet,GO:0002011,ENSG00000134250;ENSG00000165322;ENSG00000148943;ENSG00000072415;ENSG00000173917;ENSG00000182742;ENSG00000101680;ENSG00000173402;ENSG00000112658;,60
inflammatory response to antigenic stimulus,GO:0002437,ENSG00000134250;ENSG00000134460;ENSG00000189403;ENSG00000166090;ENSG00000176903;ENSG00000172575;ENSG00000129226;ENSG00000132510;ENSG00000125571;ENSG00000136688;ENSG00000136694;ENSG00000136696;ENSG00000136695;ENSG00000136697;ENSG00000136689;ENSG00000091181;ENSG00000213689;ENSG00000174564;ENSG00000168214;ENSG00000164104;ENSG00000196126;ENSG00000148400;ENSG00000173198;,61
humoral immune response,GO:0006959,ENSG00000134250;ENSG00000107485;ENSG00000012779;ENSG00000095585;ENSG00000156738;ENSG00000110777;ENSG00000111537;ENSG00000169508;ENSG00000205220;ENSG00000108691;ENSG00000129654;ENSG00000171791;ENSG00000105246;ENSG00000105220;ENSG00000028277;ENSG00000178562;ENSG00000188389;ENSG00000160224;ENSG00000121807;ENSG00000012223;ENSG00000073849;ENSG00000109743;ENSG00000168214;ENSG00000132465;ENSG00000081189;ENSG00000112149;ENSG00000226979;ENSG00000232810;ENSG00000095970;ENSG00000124731;ENSG00000112561;ENSG00000146072;ENSG00000056972;ENSG00000112486;ENSG00000136244;ENSG00000130675;ENSG00000104432;ENSG00000177047;ENSG00000137080;ENSG00000147873;ENSG00000120235;ENSG00000233816;ENSG00000188379;ENSG00000120242;ENSG00000197919;ENSG00000184995;ENSG00000147896;ENSG00000196092;ENSG00000148400;ENSG00000068323;ENSG00000183918;ENSG00000198492;,62
determination of left/right symmetry,GO:0007368,ENSG00000134250;ENSG00000154309;ENSG00000243709;ENSG00000154342;ENSG00000169126;ENSG00000122870;ENSG00000156574;ENSG00000166171;ENSG00000107831;ENSG00000107882;ENSG00000154485;ENSG00000187240;ENSG00000120697;ENSG00000256061;ENSG00000140479;ENSG00000187535;ENSG00000103494;ENSG00000159792;ENSG00000103241;ENSG00000141013;ENSG00000160602;ENSG00000011143;ENSG00000171595;ENSG00000129654;ENSG00000172361;ENSG00000176225;ENSG00000198003;ENSG00000179284;ENSG00000105429;ENSG00000157856;ENSG00000138002;ENSG00000138036;ENSG00000214513;ENSG00000136698;ENSG00000121989;ENSG00000115170;ENSG00000125863;ENSG00000101350;ENSG00000101052;ENSG00000184058;ENSG00000100280;ENSG00000114739;ENSG00000241186;ENSG00000114251;ENSG00000169379;ENSG00000113966;ENSG00000113971;ENSG00000109705;ENSG00000048342;ENSG00000118762;ENSG00000164093;ENSG00000138686;ENSG00000039139;ENSG00000070193;ENSG00000131437;ENSG00000146122;ENSG00000203877;ENSG00000146350;ENSG00000164442;ENSG00000198719;ENSG00000105877;ENSG00000128602;ENSG00000178234;ENSG00000164690;ENSG00000160973;ENSG00000080298;ENSG00000096872;ENSG00000122735;ENSG00000099139;ENSG00000160345;ENSG00000148400;ENSG00000156925;ENSG00000123473;,63
embryonic limb morphogenesis,GO:0030326,ENSG00000134250;ENSG00000185630;ENSG00000116132;ENSG00000092969;ENSG00000107984;ENSG00000107829;ENSG00000134569;ENSG00000075388;ENSG00000168014;ENSG00000187240;ENSG00000070018;ENSG00000180818;ENSG00000180318;ENSG00000171310;ENSG00000089225;ENSG00000135100;ENSG00000102678;ENSG00000125378;ENSG00000080815;ENSG00000166923;ENSG00000128918;ENSG00000109063;ENSG00000121075;ENSG00000105429;ENSG00000003137;ENSG00000163064;ENSG00000217236;ENSG00000128714;ENSG00000128710;ENSG00000125965;ENSG00000101115;ENSG00000101144;ENSG00000154764;ENSG00000114251;ENSG00000152601;ENSG00000168779;ENSG00000073282;ENSG00000163132;ENSG00000157796;ENSG00000138759;ENSG00000138795;ENSG00000138829;ENSG00000120149;ENSG00000204304;ENSG00000122691;ENSG00000164651;ENSG00000253293;ENSG00000005073;ENSG00000106571;ENSG00000006377;ENSG00000105880;ENSG00000164690;ENSG00000077782;ENSG00000185920;ENSG00000148400;ENSG00000157933;,64
positive regulation of BMP signaling pathway,GO:0030513,ENSG00000134250;ENSG00000107872;ENSG00000166333;ENSG00000137497;ENSG00000139567;ENSG00000125378;ENSG00000067141;ENSG00000102935;ENSG00000179776;ENSG00000175931;ENSG00000128791;ENSG00000141622;ENSG00000175387;ENSG00000141646;ENSG00000105701;ENSG00000176887;ENSG00000204217;ENSG00000125965;ENSG00000114315;ENSG00000163132;ENSG00000168214;ENSG00000152684;ENSG00000251493;ENSG00000120149;ENSG00000164659;ENSG00000135253;ENSG00000136574;ENSG00000137573;ENSG00000148204;ENSG00000106991;ENSG00000148400;ENSG00000147257;ENSG00000142871;ENSG00000197921;,65
interleukin-4 production,GO:0032633,ENSG00000134250;ENSG00000107485;ENSG00000184293;ENSG00000174992;ENSG00000196083;ENSG00000168214;ENSG00000113263;ENSG00000148400;ENSG00000134258;,66
multicellular organism growth,GO:0035264,ENSG00000134250;ENSG00000143845;ENSG00000162769;ENSG00000163041;ENSG00000225830;ENSG00000150275;ENSG00000150347;ENSG00000107854;ENSG00000120008;ENSG00000107679;ENSG00000129757;ENSG00000166337;ENSG00000110436;ENSG00000173898;ENSG00000172893;ENSG00000149311;ENSG00000139610;ENSG00000111077;ENSG00000172819;ENSG00000139546;ENSG00000179295;ENSG00000086598;ENSG00000178235;ENSG00000184564;ENSG00000185650;ENSG00000165533;ENSG00000133958;ENSG00000034053;ENSG00000140279;ENSG00000083093;ENSG00000122257;ENSG00000103056;ENSG00000167522;ENSG00000141510;ENSG00000178971;ENSG00000131759;ENSG00000108773;ENSG00000131482;ENSG00000167182;ENSG00000132475;ENSG00000127528;ENSG00000105701;ENSG00000105664;ENSG00000104884;ENSG00000104881;ENSG00000012061;ENSG00000115904;ENSG00000162878;ENSG00000163064;ENSG00000115159;ENSG00000144290;ENSG00000163501;ENSG00000204120;ENSG00000169136;ENSG00000124140;ENSG00000087460;ENSG00000197381;ENSG00000198832;ENSG00000100393;ENSG00000077092;ENSG00000114742;ENSG00000173706;ENSG00000018408;ENSG00000177565;ENSG00000087274;ENSG00000187821;ENSG00000145494;ENSG00000113448;ENSG00000106004;ENSG00000136280;ENSG00000128602;ENSG00000196584;ENSG00000181690;ENSG00000083307;ENSG00000107282;ENSG00000178966;ENSG00000136936;ENSG00000186051;ENSG00000056586;ENSG00000148339;ENSG00000147050;ENSG00000169083;ENSG00000085224;ENSG00000169504;ENSG00000142784;ENSG00000196182;ENSG00000084073;ENSG00000123473;ENSG00000198793;,67
myeloid dendritic cell differentiation,GO:0043011,ENSG00000134250;ENSG00000123685;ENSG00000175104;ENSG00000066336;ENSG00000168062;ENSG00000111321;ENSG00000100867;ENSG00000080815;ENSG00000156127;ENSG00000105329;ENSG00000104856;ENSG00000163513;ENSG00000168214;ENSG00000152495;ENSG00000164400;ENSG00000113520;ENSG00000137265;ENSG00000213886;ENSG00000164935;,68
positive regulation of osteoclast differentiation,GO:0045672,ENSG00000134250;ENSG00000162891;ENSG00000175104;ENSG00000110944;ENSG00000111537;ENSG00000120659;ENSG00000152192;ENSG00000170345;ENSG00000118260;ENSG00000149635;ENSG00000087460;ENSG00000163823;ENSG00000151615;ENSG00000155846;ENSG00000113302;ENSG00000232810;ENSG00000112115;ENSG00000104267;ENSG00000180694;ENSG00000155090;ENSG00000184371;ENSG00000162594;,69
placenta blood vessel development,GO:0060674,ENSG00000134250;ENSG00000143494;ENSG00000175592;ENSG00000071246;ENSG00000166145;ENSG00000169032;ENSG00000185551;ENSG00000008710;ENSG00000184557;ENSG00000118762;ENSG00000248329;ENSG00000105855;ENSG00000162775;ENSG00000117713;,70
ciliary body morphogenesis,GO:0061073,ENSG00000134250;ENSG00000182704;ENSG00000186790;,71
left/right axis specification,GO:0070986,ENSG00000134250;ENSG00000136169;ENSG00000138587;ENSG00000138002;ENSG00000115109;ENSG00000169379;ENSG00000164093;ENSG00000135541;ENSG00000164442;ENSG00000198719;ENSG00000158683;ENSG00000128602;ENSG00000148400;ENSG00000081870;,72
proximal tubule development,GO:0072014,ENSG00000134250;ENSG00000178301;ENSG00000198719;ENSG00000163909;,73
glomerular visceral epithelial cell development,GO:0072015,ENSG00000134250;ENSG00000125378;ENSG00000157483;ENSG00000140575;ENSG00000161270;ENSG00000171456;ENSG00000187391;ENSG00000128567;,74
glomerular capillary formation,GO:0072104,ENSG00000134250;ENSG00000125378;ENSG00000074181;,75
hepatocyte proliferation,GO:0072574,ENSG00000134250;ENSG00000117707;ENSG00000163235;ENSG00000172216;ENSG00000136244;ENSG00000104760;ENSG00000117676;,76
regulation of osteoclast development,GO:2001204,ENSG00000134250;ENSG00000197046;ENSG00000011600;,77
antigen processing and presentation of exogenous peptide antigen via MHC class I_ TAP-dependent,GO:0002479,ENSG00000198019;ENSG00000150337;ENSG00000159352;ENSG00000159377;ENSG00000116701;ENSG00000213341;ENSG00000185627;ENSG00000129084;ENSG00000165916;ENSG00000110801;ENSG00000100804;ENSG00000222028;ENSG00000092010;ENSG00000100911;ENSG00000100902;ENSG00000100519;ENSG00000100567;ENSG00000100764;ENSG00000092531;ENSG00000167004;ENSG00000166710;ENSG00000041357;ENSG00000205220;ENSG00000103035;ENSG00000051523;ENSG00000142507;ENSG00000108671;ENSG00000108344;ENSG00000131467;ENSG00000087191;ENSG00000197170;ENSG00000154611;ENSG00000179218;ENSG00000099341;ENSG00000013275;ENSG00000068878;ENSG00000116031;ENSG00000118640;ENSG00000115233;ENSG00000138448;ENSG00000173692;ENSG00000125818;ENSG00000101182;ENSG00000100365;ENSG00000163636;ENSG00000082781;ENSG00000175166;ENSG00000204642;ENSG00000204632;ENSG00000206503;ENSG00000204592;ENSG00000204525;ENSG00000234745;ENSG00000204267;ENSG00000204264;ENSG00000240065;ENSG00000168394;ENSG00000231925;ENSG00000008018;ENSG00000106588;ENSG00000158517;ENSG00000135218;ENSG00000127922;ENSG00000161057;ENSG00000104365;ENSG00000095261;ENSG00000136930;ENSG00000165168;ENSG00000101843;ENSG00000143106;ENSG00000126067;ENSG00000049245;,78
interferon-gamma-mediated signaling pathway,GO:0060333,ENSG00000198019;ENSG00000150337;ENSG00000117595;ENSG00000148660;ENSG00000171206;ENSG00000185507;ENSG00000132109;ENSG00000167333;ENSG00000258659;ENSG00000132256;ENSG00000132274;ENSG00000026508;ENSG00000149294;ENSG00000111537;ENSG00000089127;ENSG00000111331;ENSG00000111335;ENSG00000135114;ENSG00000213928;ENSG00000166710;ENSG00000140464;ENSG00000179583;ENSG00000125148;ENSG00000140968;ENSG00000141510;ENSG00000121060;ENSG00000090339;ENSG00000216490;ENSG00000126456;ENSG00000123609;ENSG00000115415;ENSG00000067066;ENSG00000101336;ENSG00000159128;ENSG00000163932;ENSG00000145349;ENSG00000168310;ENSG00000125347;ENSG00000070808;ENSG00000137265;ENSG00000112343;ENSG00000204642;ENSG00000204632;ENSG00000206503;ENSG00000204616;ENSG00000234127;ENSG00000204592;ENSG00000204525;ENSG00000234745;ENSG00000204287;ENSG00000198502;ENSG00000196126;ENSG00000196735;ENSG00000237541;ENSG00000232629;ENSG00000231389;ENSG00000223865;ENSG00000027697;ENSG00000058404;ENSG00000128604;ENSG00000096968;ENSG00000101871;ENSG00000162692;ENSG00000117228;ENSG00000162645;ENSG00000162434;ENSG00000169403;ENSG00000116525;,79
Fc receptor signaling pathway,GO:0038093,ENSG00000198019;ENSG00000162896;ENSG00000163606;ENSG00000157404;,80
positive regulation of neuron migration,GO:2001224,ENSG00000171943;ENSG00000116584;ENSG00000138182;ENSG00000187164;ENSG00000110492;ENSG00000180357;ENSG00000138834;ENSG00000103264;ENSG00000109756;ENSG00000164190;ENSG00000092421;ENSG00000075213;ENSG00000137055;ENSG00000136848;ENSG00000165802;ENSG00000196924;,81
negative regulation of filopodium assembly,GO:0051490,ENSG00000171943;ENSG00000006740;ENSG00000179915;ENSG00000163932;ENSG00000077549;,82
negative regulation of dendritic spine development,GO:0061000,ENSG00000171943;ENSG00000105426;ENSG00000145632;ENSG00000053108;ENSG00000196591;ENSG00000153317;,83
inorganic anion transport,GO:0015698,ENSG00000117262;ENSG00000188092;ENSG00000165637;ENSG00000197901;ENSG00000149452;ENSG00000168065;ENSG00000127325;ENSG00000004939;ENSG00000171017;ENSG00000188687;ENSG00000144290;ENSG00000114923;ENSG00000088836;ENSG00000198445;ENSG00000033867;ENSG00000080493;ENSG00000138821;ENSG00000213585;ENSG00000113073;ENSG00000091137;ENSG00000164889;ENSG00000104635;ENSG00000078668;ENSG00000136802;ENSG00000171492;ENSG00000171488;ENSG00000197147;,84
T cell differentiation,GO:0030217,ENSG00000117262;ENSG00000188092;ENSG00000081237;ENSG00000143772;ENSG00000107485;ENSG00000107758;ENSG00000175097;ENSG00000110719;ENSG00000198851;ENSG00000167286;ENSG00000160654;ENSG00000010610;ENSG00000139636;ENSG00000184916;ENSG00000128917;ENSG00000073861;ENSG00000175354;ENSG00000171791;ENSG00000141968;ENSG00000105329;ENSG00000105438;ENSG00000115085;ENSG00000172845;ENSG00000187736;ENSG00000124126;ENSG00000160199;ENSG00000100105;ENSG00000168036;ENSG00000168421;ENSG00000157404;ENSG00000109471;ENSG00000168685;ENSG00000120738;ENSG00000124766;ENSG00000124813;ENSG00000152894;ENSG00000106003;ENSG00000174697;ENSG00000171316;ENSG00000134242;ENSG00000116678;ENSG00000182866;ENSG00000171608;,85
intracellular pH reduction,GO:0051452,ENSG00000117262;ENSG00000188092;ENSG00000137561;,86
positive regulation of protein targeting to membrane,GO:0090314,ENSG00000174827;ENSG00000151150;ENSG00000174775;ENSG00000149269;ENSG00000111731;ENSG00000167535;ENSG00000187446;ENSG00000186198;ENSG00000103888;ENSG00000185043;ENSG00000169896;ENSG00000197879;ENSG00000177427;ENSG00000176749;ENSG00000141736;ENSG00000168502;ENSG00000105221;ENSG00000119185;ENSG00000168958;ENSG00000171867;ENSG00000158445;ENSG00000160255;ENSG00000100335;ENSG00000010810;ENSG00000214253;ENSG00000170379;ENSG00000198420;ENSG00000164885;ENSG00000148175;ENSG00000121905;,87
xenobiotic detoxification by transmembrane export across the plasma membrane,GO:1990961,ENSG00000174827;ENSG00000023839;ENSG00000110628;ENSG00000017797;ENSG00000163406;ENSG00000197375;ENSG00000124564;ENSG00000116885;,88
